Hello (used esp. when answering the phone),हेलो,hēlo,Basics
Hello,नमस्ते,namastē,Basics
Hello/Goodbye,नमस्कार,namaskār,Basics
Hello/Goodbye (Hindu -  respectful),प्रणाम,praṇām,Basics
Hello/Goodbye (Hindu -  colloquial),राम राम,rām rām,Basics
Hello/Goodbye (Sikh),सत श्री अकाल,sat śrī akāl,Basics
Hello/Goodbye (Sikh -  formal),वाहिगुरू जी का खाल्स,vāhēgurū jī ka khālsa,Basics
Hello/Goodbye (Sikh -  reply),वाहिगुरू जी की फ़तह,vāhēgurū jī kī fateh,Basics
See you later,फिर मिलेंगे,phir milēṅgē,Basics
How are you?,आप कैसे/कैसी हैं?,āp kaisē/kaisī haĩ?,Basics
How are you?,आप ख़ैरियत से हैँ?,āp khairiyat se haĩ?,Basics
I am fine,मैं ठीक हूँ,maĩ ṭhīk hū̃,Basics
OK/fine (colloq.),ठीक है,ṭhīk hai,Basics
Fine -  and you? (more formal reply),ठीक -  आप सुनाइये,ṭhīk -  āp sunāiyē,Basics
What is your name?,आपका नाम क्या है?,āpkā nām kyā hai?,Basics
My name is ___ .,मेरा नाम ___ है।,mērā nām ___ hai.,Basics
Nice to meet you (formal).,आपसे मिलकर बहुत ख़ूशी हुई।,āpsē milkar bahut k͟hūśī huī,Basics
Nice to meet you too (reply).,मुझे भी,mujhē bhī,Basics
Yes,हाँ,hā̃,Basics
No/not,नहीं,nahī̃,Basics
Do you speak English?,आपको अंग्रेज़ी आती है?,āpko aṅgrēzī ātī hai?,Basics
Is there someone here who speaks English?,क्या किसी को अंग्रेज़ी आती है?,kyā kisī ko aṅgrēzī ātī hai?,Basics
I don't speak Hindi.,मुझे हिन्दी नहीं आती है।,mujhē hindī nahī̃ ātī hai.,Basics
I can't speak Hindi,मैं हिन्दी नहीं बोल सकता हूँ।,maĩ hindī nahī̃ bol sakta hū̃.,Basics
I speak some Hindi.,मुझे कुच हिन्दी आती है।,mujhē kuc hindī ātī hai,Basics
I don't understand.,मैं समझा/समझी नहीं।,maĩ samjhā/samjhī nahī̃,Basics
